# Directed graph (each unordered pair of nodes is saved once): Cit-Patents.txt 
# US Patent citation network 1975-1999
# Nodes: 3774768 Edges: 16518948
# FromNodeId	ToNodeId
3858242	1515701
3858242	3668705
3858243	3574238
3858243	3684611
3858245	3621837
3858245	3699969
3858246	3601877
3858247	2807431
3858247	3694819
3858248	2875449
3858249	3609772
3858249	3611446
3858249	3611447
3858249	3748663
3858250	3320622
3858251	1092080
3858251	3694825
3858252	1572275
3858252	2518060
3858252	3060453
3858253	2665963
3858253	2702225
3858253	3097369
3858256	3695690
3858257	3290704
3858258	1331793
3858260	2784424
3858260	2991750
3858260	3436095
3858260	3755838
3858264	3137017
3858264	3368229
3858266	2677837
3858267	2817867
3858269	2599580
3858269	2726419
3858272	2025946
3858273	2765243
3858273	2826500
3858274	3398487
3858274	3648327
3858275	2910652
3858275	3139595
3858276	3120030
3858278	55828
3858283	2154099
3858284	3602754
3858284	3778127
3858285	2724562
3858285	2727297
3858285	3545078
3858286	3650018
3858287	1687498
3858287	2005885
3858288	822723
3858288	3140130
3858290	3697192
3858291	2340853
3858294	3584362
3858296	3602972
3858297	2814859
3858298	3142113
3858298	3373474
3858299	3718965
3858300	2160395
3858300	2339897
3858302	3212369
3858302	3706241
3858302	3768143
3858303	2121606
3858303	2531440
3858303	3623921
3858306	3459603
3858306	3723190
3858308	2387073
3858308	3564705
3858312	2399631
3858312	3063136
3858316	2618055
3858317	766725
3858317	2329729
3858318	2591925
3858318	2691817
3858318	2836882
3858318	3174214
3858318	3555674
3858320	1501020
3858321	2811342
3858321	2962812
3858321	3094751
3858323	1838982
3858326	34608
3858326	1323148
3858331	3724096
3858332	205960
3858333	1693711
3858334	531060
3858334	2921386
3858336	1811781
3858336	3313047
3858338	3111777
3858340	2994298
3858340	3503496
3858341	3210876
3858341	3261013
3858342	1126294
3858342	2196136
3858343	2086008
3858343	2814151
3858343	3670446
3858344	2563386
3858347	3053533
3858348	1384972
3858348	3724121
3858349	3273281
3858350	2814907
3858351	2959891
3858352	3490170
3858355	1700121
3858355	2722170
3858355	3606404
3858356	3258876
3858357	3147562
3858357	3263359
3858357	3295589
3858358	2696049
3858358	3201901
3858359	1326561
3858359	3756377
3858360	2261565
3858361	1923020
3858361	2859567
3858361	3566546
3858363	1816494
3858364	2256104
3858364	3245187
3858364	3486579
3858366	3528200
3858369	2454777
3858372	3114176
3858372	3512324
3858374	2198985
3858374	3550339
3858375	2174441
3858375	2949981
3858375	3362123
3858376	1420220
3858376	1465653
3858376	1477520
3858376	2140998
3858377	3449877
3858377	3719014
3858378	1562533
3858378	2335376
3858378	2569665
3858378	2651144
3858378	2663812
3858380	3457695
3858380	3492783
3858381	2746221
3858381	3410053
3858381	3423900
3858381	3698151
3858382	1794517
3858382	2045678
3858382	2069266
3858382	2790591
3858382	3044233
3858383	3034275
3858384	3600876
3858385	3540201
3858386	3342027
3858387	3184436
3858390	3621657
3858391	2962597
3858392	3754060
3858393	3470694
3858395	3048982
3858395	3358451
3858395	3716990
3858397	3140986
3858397	3284137
3858399	3140858
3858400	1474808
3858400	3381479
3858401	3738434
3858403	3460373
3858406	2155516
3858407	3214932
3858408	2054460
3858408	2398035
3858408	2500679
3858409	2449824
3858410	2187387
3858411	607854
3858411	1304103
3858411	2304766
3858412	2354961
3858412	3055390
3858413	2209855
3858413	2439569
3858416	3327499
3858417	3036449
3858417	3550403
3858418	2039490
3858418	2797530
3858418	3267830
3858418	3354922
3858419	786586
3858421	1492076
3858422	3557590
3858422	3575025
3858423	3143009
3858424	1071846
3858424	2601793
3858424	3076360
3858424	3147648
3858425	3435649
3858425	3492850
3858427	1610982
3858428	1956818
3858428	3628226
3858429	3051216
3858430	2132148
3858430	3543560
3858432	1827558
3858432	3590624
3858433	3473382
3858435	3690835
3858435	3701632
3858436	3584500
3858437	2847853
3858437	3712119
3858439	3713127
3858440	3315202
3858441	3442122
3858441	3442123
3858442	2187345
3858442	3193035
3858442	3533284
3858442	3537301
3858444	3385136
3858445	3452592
3858446	3588720
3858446	3762221
3858447	1747536
3858447	3392579
3858448	3388595
3858449	2811041
3858449	3747411
3858450	3419358
3858450	3489525
3858452	3051014
3858452	3069151
3858454	2934199
3858454	3016757
3858455	679365
3858455	1987006
3858455	3675508
3858457	2706020
3858458	3348851
3858459	3293934
3858459	3691872
3858460	3352392
3858461	2223768
3858461	3016600
3858461	3290917
3858462	598711
3858463	3259365
3858464	717400
3858464	1391898
3858465	885596
3858465	2696134
3858466	637375
3858468	1453176
3858468	3608809
3858469	3052146
3858470	1082926
3858472	2355082
3858473	2639025
3858473	3304820
3858475	3056325
3858476	2776610
3858476	3744360
3858478	2761348
3858478	2855817
3858479	2625071
3858479	3227031
3858480	2122396
3858481	3367055
3858484	3732027
3858485	3426649
3858486	2712794
3858486	2895426
3858487	3046950
3858487	3255706
3858488	3485537
3858488	3717072
3858489	2832270
3858490	2853296
3858490	3783752
3858491	2996971
3858491	3706165
3858492	3348952
3858492	3607655
3858496	1299135
3858496	2257408
3858497	2179742
3858497	2835920
3858499	3062737
3858499	3230860
3858499	3755915
3858500	2937678
3858501	3621898
